Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial
B00843223-I1,BROOKLYN,,2023-03-21,2025-05-02,772,2025-07-01,143.0,,Permit Entire,3325092,303,40.68414,-73.93811,383,MARCUS GARVEY BOULEVARD,3,1654,81,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00843225-I1,BROOKLYN,,2023-07-26,2025-05-02,645,2025-12-31,190.0,,Permit Entire,3000567,302,40.68743,-73.98332,383,STATE STREET,3,172,55,TRIANGLE INSP & TEST SER INC.,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00844422-I1,BROOKLYN,,2023-03-17,2025-05-02,776,2026-03-10,189.0,,Permit Entire,3000527,302,40.68717,-73.98006,60,FLATBUSH AVENUE,3,167,26,KZ ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00846939-I1,BROOKLYN,,2023-03-27,2025-05-02,766,2025-08-04,209.0,,Permit Entire,3166838,311,40.60294,-74.00035,8684,20 AVENUE,3,6374,1,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00847818-I1,BROOKLYN,,2023-03-29,2025-05-02,764,2025-05-14,31.0,,Permit Entire,3002519,302,40.69167,-73.99512,50,SIDNEY PLACE,3,263,61,MOHAMMAD AHEAD - PE  PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00848914-I1,BROOKLYN,,2023-03-27,2025-05-02,766,2025-07-19,399.0,,Permit Entire,3245696,315,40.57716,-73.95331,65,ORIENTAL BOULEVARD,3,8719,38,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00849966-I1,BROOKLYN,,2023-03-28,2025-05-02,765,2025-11-03,119.0,,Permit Entire,3064615,301,40.73149,-73.95351,176,JAVA STREET,3,2551,14,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00850044-I1,BROOKLYN,,2023-03-27,2025-05-02,766,2025-05-25,264.0,,Permit Entire,3418260,301,40.73167,-73.95918,32,INDIA STREET,3,2539,1,PR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00851192-I1,BROOKLYN,,2023-04-03,2025-05-02,759,2025-08-16,480.0,,Permit Entire,3121398,314,40.63482,-73.95773,1111,OCEAN AVENUE,3,5241,31,..,1,DOB NOW,Local Law 11,Other Zoning Districts
B00851563-I1,BROOKLYN,,2023-03-29,2025-05-02,764,2025-08-04,145.0,,Permit Entire,3067412,301,40.72596,-73.93859,296,NASSAU AVENUE,3,2692,2,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00851755-I1,BROOKLYN,,2023-04-05,2025-05-02,757,2025-07-19,111.0,,Permit Entire,3392287,306,40.68392,-73.99012,378,BALTIC STREET,3,403,7508,MSM ENGINEERING SERVICES  PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00852268-I1,BROOKLYN,,2023-04-03,2025-05-02,759,2025-07-07,35.0,,Permit Entire,3063828,301,40.73531,-73.95575,129,EAGLE STREET,3,2495,52,ARQUITECTURA VARELA,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00853461-I1,BROOKLYN,,2023-06-19,2025-05-02,682,2025-05-10,120.0,,Permit Entire,3058228,302,40.69234,-73.98466,111,WILLOUGHBY STREET,3,2058,47,URBAN INTEGRATIONS LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00853871-I1,BROOKLYN,,2023-04-06,2025-05-02,756,2025-12-22,275.0,,Permit Entire,3245098,313,40.57674,-73.96194,3091,BRIGHTON    5 STREET,3,8689,15,MOHAMMAD AHEAD - PE  PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00855291-I1,BROOKLYN,,2023-05-03,2025-05-02,729,2025-09-29,855.0,,Permit Entire,3426946,302,40.70226,-73.97277,1,DOCK   72 WAY,3,2023,1,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00855843-I1,BROOKLYN,,2023-04-12,2025-05-02,750,2025-08-09,354.0,,Permit Entire,3105968,317,40.64267,-73.92487,5455,KINGS HIGHWAY,3,4775,41,ASR ENGINEERING PC,1,DOB NOW,Local Law 11,Other Zoning Districts
